bench,ORDER,n,t
create,2,3199,0.00017812737499999998
create,2,3215,0.000178089375
create,2,3231,0.00017750724999999998
create,2,3247,0.00018024825000000004
create,2,3263,0.000181313625
create,2,3279,0.00018034125000000002
create,2,3295,0.000179127875
create,2,3311,0.00017593050000000004
create,2,3327,0.00017818762499999998
create,2,3343,0.000178550375
create,2,3359,0.000175809375
create,2,3375,0.00017741362500000004
create,2,3391,0.0001809515
create,2,3407,0.00017863875
create,2,3423,0.00018157749999999997
create,2,3439,0.000177759375
create,2,3455,0.00018367024999999999
create,2,3471,0.00018089062499999998
create,2,3487,0.00017836374999999997
create,2,3503,0.00018112175
create,2,3519,0.00017606212499999998
create,2,3535,0.000182390125
create,2,3551,0.00017958300000000003
create,2,3567,0.00018559274999999998
create,2,3583,0.00018486262500000002
create,2,3599,0.000184494625
create,2,3615,0.000184071625
create,2,3631,0.000179896
create,2,3647,0.0001823685
create,2,3663,0.00018343450000000001
create,2,3679,0.000185027
create,2,3695,0.000183516375
create,2,3711,0.00018659849999999999
create,2,3727,0.00018714199999999998
create,2,3743,0.000184664875
create,2,3759,0.00018211574999999996
create,2,3775,0.00018414824999999998
create,2,3791,0.00018146225
create,2,3807,0.00018687874999999998
create,2,3823,0.00018330225000000002
create,2,3839,0.000183581875
create,2,3855,0.0001815225
create,2,3871,0.000187032625
create,2,3887,0.000182384875
create,2,3903,0.00018335725000000002
create,2,3919,0.00018459875000000005
create,2,3935,0.000185994125
create,2,3951,0.00018552725
create,2,3967,0.000182895625
create,2,3983,0.00018532950000000004
create,2,3999,0.00018365387500000004
create,2,4015,0.000186977
create,2,4031,0.00018731225
create,2,4047,0.00018708699999999995
create,2,4063,0.00018352749999999996
create,2,4079,0.00018226962500000004
create,2,4095,0.00019031775000000005
create,2,4111,0.00018257737499999998
create,2,4127,0.00018176412500000002
create,2,4143,0.000187373125
create,2,4159,0.00018494512499999996
create,2,4175,0.000187878625
create,2,4191,0.00018674124999999998
create,2,4207,0.00018374750000000004
create,2,4223,0.00018243987499999998
create,2,4239,0.000189477
create,2,4255,0.00018619187499999997
create,2,4271,0.000184824
create,2,4287,0.00018202212500000002
create,2,4303,0.000185368125
create,2,4319,0.00018514812499999999
create,2,4335,0.000183478375
create,2,4351,0.00018045712499999996
create,2,4367,0.00018200050000000001
create,2,4383,0.00018755975
create,2,4399,0.00018866374999999995
create,2,4415,0.0001861205
create,2,4431,0.000182126875
create,2,4447,0.00018304425000000005
create,2,4463,0.000183758625
create,2,4479,0.00018420912500000003
create,2,4495,0.00018274762500000003
create,2,4511,0.00019205362500000002
create,2,4527,0.00018313787500000005
create,2,4543,0.00018300037499999997
create,2,4559,0.00018267624999999995
create,2,4575,0.00018553837500000003
create,2,4591,0.000188251875
create,2,4607,0.00018330750000000002
create,2,4623,0.00018364862499999998
create,2,4639,0.00018376912499999996
create,2,4655,0.00018235799999999998
create,2,4671,0.000187548625
create,2,4687,0.0001853295
create,2,4703,0.000187175375
create,2,4719,0.00018468712500000004
create,2,4735,0.000184604
create,2,4751,0.000190201875
create,2,4767,0.00018011075000000002
create,2,4783,0.00018191275
create,2,4799,0.00018715375000000005
create,2,4815,0.000188647375
create,2,4831,0.00018786225
create,2,4847,0.00018632875
create,2,4863,0.00018586775
create,2,4879,0.00018518674999999998
create,2,4895,0.00018009437500000005
create,2,4911,0.00018360937500000004
