bench,ORDER,n,t
create,2,443,0.00013820225
create,2,444,0.000137955375
create,2,445,0.00013664712500000004
create,2,446,0.00013479075000000001
create,2,447,0.00013884
create,2,448,0.000138273625
create,2,449,0.000136691625
create,2,450,0.00013899912500000002
create,2,451,0.00014025700000000002
create,2,452,0.00013884525000000002
create,2,453,0.000136125875
create,2,454,0.00013914712499999996
create,2,455,0.000140586375
create,2,456,0.000138878
create,2,457,0.000139564875
create,2,458,0.00013886162500000002
create,2,459,0.00014119075000000003
create,2,460,0.000139454875
create,2,461,0.00013903775000000002
create,2,462,0.00013987262500000003
create,2,463,0.00013855975
create,2,464,0.00013659274999999998
create,2,465,0.000140213125
create,2,466,0.00013546125
create,2,467,0.00013873525
create,2,468,0.000137609
create,2,469,0.000137417125
create,2,470,0.000138208125
create,2,471,0.000137202375
create,2,472,0.00013999312499999997
create,2,473,0.000141284375
create,2,474,0.00013927937499999998
create,2,475,0.00013865337500000002
create,2,476,0.00014152600000000003
create,2,477,0.00013802087499999996
create,2,478,0.00013958649999999998
create,2,479,0.000139411
create,2,480,0.00013955374999999998
create,2,481,0.000137389625
create,2,482,0.000137845375
create,2,483,0.00014068
create,2,484,0.000138576125
create,2,485,0.00014102575
create,2,486,0.000138878
create,2,487,0.00013895525000000002
create,2,488,0.00013814724999999998
create,2,489,0.00014116325
create,2,490,0.000139004375
create,2,491,0.00013927350000000001
create,2,492,0.000140811625
create,2,493,0.0001434485
create,2,494,0.00014050912500000002
create,2,495,0.000144503375
create,2,496,0.000140223625
create,2,497,0.0001447555
create,2,498,0.00013994925
create,2,499,0.00013887275
create,2,500,0.000138895
create,2,501,0.00013836725
create,2,502,0.00013735100000000002
create,2,503,0.000143399375
create,2,504,0.00013966375
create,2,505,0.000142338625
create,2,506,0.00014291025000000003
create,2,507,0.00014236612500000001
create,2,508,0.00013992762499999997
create,2,509,0.00013876862500000002
create,2,510,0.000144157625
create,2,511,0.00013750487500000002
create,2,512,0.00013752650000000002
create,2,513,0.00014267975
create,2,514,0.000142207
create,2,515,0.00014034475
create,2,516,0.000143003875
create,2,517,0.00014413012500000003
create,2,518,0.00014243749999999999
create,2,519,0.00014082275
create,2,520,0.000144728625
create,2,521,0.000138020875
create,2,522,0.00014376737500000001
create,2,523,0.000139301
create,2,524,0.000142415875
create,2,525,0.00014526162500000001
create,2,526,0.00014363575000000001
create,2,527,0.00013999899999999997
create,2,528,0.000142157875
create,2,529,0.00014302550000000003
create,2,530,0.000139416875
create,2,531,0.000142673875
create,2,532,0.00014076187499999996
create,2,533,0.00013973512499999998
