BLOCK_SIZE,n,t
65536,2031,0.0016503300758247167
65536,2047,0.0016394348128969222
65536,2063,0.0016287228259815804
65536,2079,0.0016181621471861472
65536,2095,0.0016077646224343675
65536,2111,0.0015975138417811464
65536,2127,0.0015874172411847673
65536,2143,0.001577496632757816
65536,2159,0.0015677122723483095
65536,2175,0.0015580763935632183
65536,2191,0.0015485631592879962
65536,2207,0.0015392074517444495
65536,2223,0.0015299744390463337
65536,2239,0.0015208822152746762
65536,2255,0.0015118986341463414
65536,2271,0.0015030527054161163
65536,2287,0.0014943323594228245
65536,2303,0.001485748672166739
65536,2319,0.0014772771065114272
65536,2335,0.0021115885841541753
65536,2351,0.002099013089749043
65536,2367,0.002086606616814533
65536,2383,0.0020743529181703733
65536,2399,0.002062263029595665
65536,2415,0.0020503299229813663
65536,2431,0.0026552907511312217
65536,2447,0.002639618827952595
65536,2463,0.002916536579780755
65536,2479,0.0028993860943929005
65536,2495,0.0028824455006012024
65536,2511,0.0028657300995619276
65536,2527,0.0028492248381480016
65536,2543,0.002832931406213134
65536,2559,0.00281684866275889
65536,2575,0.0028009630834951453
65536,2591,0.002785284402161328
65536,2607,0.002769800418872267
65536,2623,0.002754506507052993
65536,2639,0.002739403842364532
65536,2655,0.002724489263276836
65536,2671,0.0027097515956570574
65536,2687,0.002695190061778936
65536,2703,0.0026808011113577507
65536,2719,0.0026665847995586615
65536,2735,0.002652531936380256
65536,2751,0.0026386508367866233
65536,2767,0.00262493579833755
65536,2783,0.0026113708789076537
65536,2799,0.0025979537920685957
65536,2815,0.0025846927843694496
65536,2831,0.0025715834998233838
65536,2847,0.002558625613628381
65536,2863,0.0025458254180929095
65536,2879,0.002533153114970476
65536,2895,0.0025206108069084627
65536,2911,0.002508232009618688
65536,2927,0.0024959835886573284
65536,2943,0.0024838740543662928
65536,2959,0.0024718838932071647
65536,2975,0.002460038566722689
65536,2991,0.0024483123276496156
65536,3007,0.002436710354506152
65536,3023,0.0024252176744955344
65536,3039,0.0024138537597894042
65536,3055,0.0024026093374795417
65536,3071,0.0023914873806577665
65536,3087,0.002380487319080013
65536,3103,0.0023695995591363197
65536,3119,0.0023588203231805064
65536,3135,0.002348154646889952
65536,3151,0.0023375994871469375
65536,3167,0.002327137024944743
65536,3183,0.0023167729494187874
65536,3199,0.0023065343357299155
65536,3215,0.0022963838786936234
65536,3231,0.00228635139090065
65536,3247,0.002276418963350785
65536,3263,0.0022665782335274287
65536,3279,0.0022568342140896615
65536,3295,0.002247185569650986
65536,3311,0.002237632328601631
65536,3327,0.0022281755930267507
65536,3343,0.002218794367932994
65536,3359,0.0022095087180708543
65536,3375,0.0022003142607407407
65536,3391,0.0021912056331465646
65536,3407,0.002182194968594071
65536,3423,0.0021732563680981593
65536,3439,0.0023738077481826113
65536,3455,0.0023640707149059333
65536,3471,0.0023544174975511385
65536,3487,0.0023448393105821625
65536,3503,0.002335375941764202
65536,3519,0.0023259966808752484
65536,3535,0.002316684796605375
65536,3551,0.002307459673894678
65536,3567,0.00229832597869358
65536,3583,0.0022892718978509627
65536,3599,0.00228029792998055
65536,3615,0.002271410645089903
65536,3631,0.0022625868443954832
65536,3647,0.0022538447326569786
65536,3663,0.0022451917597597596
65536,3679,0.002236608981788529
65536,3695,0.0022281078403247633
65536,3711,0.0022196689657774187
65536,3727,0.002211310117520794
65536,3743,0.0022030347785199035
65536,3759,0.002194811508379888
65536,3775,0.002186677480794702
65536,3791,0.0021785983613822214
65536,3807,0.0021705973338586814
65536,3823,0.002162667898509024
65536,3839,0.0021548016936702263
65536,3855,0.0021469945670557714
65536,3871,0.0021392594027383107
65536,3887,0.0021315839377411888
65536,3903,0.0021239648741993335
65536,3919,0.0021164302704771622
65536,3935,0.0021089469977128334
65536,3951,0.002101514434826626
65536,3967,0.0020941494913032516
65536,3983,0.002086837145367813
65536,3999,0.002079587310827707
65536,4015,0.002072400644084682
65536,4031,0.002065274646489705
65536,4047,0.0020582018052878676
65536,4063,0.002051178764459759
65536,4079,0.002044219460161804
65536,4095,0.0020373111897435897
65536,4111,0.002030449657017757
65536,4127,0.0020236442897988856
65536,4143,0.0020168989538981415
65536,4159,0.002010203782159173
65536,4175,0.002003555760958084
65536,4191,0.0019969711892149846
65536,4207,0.0019904350287615878
65536,4223,0.0019839500189438785
65536,4239,0.0019775033687190378
65536,4255,0.00197112596239718
65536,4271,0.001964785061578085
65536,4287,0.0019584849498483787
65536,4303,0.0019522429021612828
65536,4319,0.0019460490771011807
65536,4335,0.0019398985420991926
65536,4351,0.001933788777752241
65536,4367,0.0019277279294710326
65536,4383,0.0019217029888204428
65536,4399,0.001915737482609684
65536,4415,0.0020729138305775763
65536,4431,0.0020664408111035885
65536,4447,0.0020600208751967615
65536,4463,0.002053628082903876
